Randomint,los,firstvalue,mc_insig,mc_humil,sig_los,mc_worth,mc_purpose,marr_value,marr_fusion,attn_check_1,marr_ss_total,marr_act,marr_rad,abor_value,abor_fusion,attn_check2,abor_ss_total,abor_act,abor_rad,age,sex,race_ethni,race_ethni_TEXT,sex_orient,educ,reli,poli,poli_importance
4790,0,A,2,5,3.5,4,4,2,6,4,3.6,4.5,3.5,2,6,4,3.4,5.5,5.5,64,2,4,,2,1,4,4,13
2324,1,A,4,5,4.5,2,2,1,4,4,4.6,7,3.25,1,5,4,4.5,6,3,43,2,4,,2,5,6,2,14
1937,1,M,5,6,5.5,3,2,1,4,4,3.6,2.5,2.5,1,3,4,3.1,1.5,1.75,32,2,4,,1,4,4,3,13
3265,0,A,2,1,1.5,4,2,1,1,4,3.4,1,1,1,3,4,3.2,3,1.75,41,1,4,,2,6,3,3,13
3445,1,M,5,5,5,3,3,1,4,4,3.8,5.25,1.75,1,3,4,3.6,4,1.75,53,1,4,,3,7,1,2,14
3708,0,M,1,5,3,7,7,2,6,4,2.2,5,5,2,6,4,2.8,5,5,28,1,4,,2,4,4,5,12
4542,1,M,2,5,3.5,6,2,2,6,6,6,2,2,2,6,4,1,1,1,21,2,4,,2,2,6,4,15
4640,1,A,7,7,7,1,2,1,6,4,3.8,6,3.25,1,2,4,3.3,2.25,1.25,23,2,4,,1,4,1,3,10
3742,0,A,3,3,3,4,4,1,5,4,2.4,4,4,1,6,4,1.8,5.5,4.5,23,2,3,,1,4,1,3,11
2097,0,A,2,2,2,5,5,1,1,4,4,1,1,2,1,4,3.8,1,1,74,1,4,,2,4,1,4,11
1465,1,M,4,6,5,1,2,1,5,4,4.4,6.75,4.25,1,2,4,4.2,5.25,3.25,36,2,4,,1,7,1,1,14
1023,0,M,1,1,1,4,1,1,6,4,3.9,5.75,2,1,6,4,3.9,6.75,2,40,2,4,,2,7,6,4,14
4017,1,A,5,7,6,4,1,1,5,4,4,6,3.25,1,4,4,3.8,5.75,2.25,56,2,4,,2,7,4,2,14
5738,0,M,5,2,3.5,5,5,1,3,4,3.5,1,1,1,3,4,3.6,1,1,39,1,4,,2,6,1,6,14
1910,0,M,1,1,1,6,5,2,5,4,4.3,2.25,2.5,2,3,4,4.3,1.75,2.5,55,1,4,,2,6,2,5,15
4826,1,A,7,7,7,1,1,2,6,4,4,7,7,2,6,4,4.6,7,7,28,1,4,,2,4,5,7,15
1045,0,M,1,1,1,6,6,2,6,4,3.3,5,1,2,6,4,4,7,1,35,1,2,,2,6,7,3,13
1480,1,A,5,5,5,3,2,1,1,4,4.3,5,2.25,1,1,4,3.9,5,2.25,56,2,4,,2,6,1,2,14
5735,1,M,7,7,7,1,1,2,5,4,2.4,5.5,1.25,2,6,4,3.5,5.75,1.25,21,2,4,,2,5,6,4,13
1681,0,M,2,2,2,4,5,1,5,4,4,7,5,1,5,4,4.3,7,5,24,1,4,,1,4,1,1,15
